,H0,Likelihood-d44-vp310,marginal-vp,marginal-vp-flat,posterior-volumetric,posterior-flat
0,40.0,0.0,0.0,0.0,0.0,0.0
1,40.22044088176353,0.0,0.0,0.0,0.0,0.0
2,40.44088176352705,0.0,0.0,0.0,0.0,0.0
3,40.66132264529058,0.0,0.0,0.0,0.0,0.0
4,40.881763527054105,0.0,0.0,0.0,0.0,0.0
5,41.102204408817634,0.0,0.0,0.0,0.0,0.0
6,41.322645290581164,0.0,0.0,0.0,0.0,0.0
7,41.54308617234469,0.0,0.0,0.0,0.0,0.0
8,41.763527054108216,0.0,0.0,0.0,0.0,0.0
9,41.983967935871746,0.0,0.0,0.0,0.0,0.0
10,42.20440881763527,0.0,0.0,0.0,0.0,0.0
11,42.4248496993988,0.0,0.0,0.0,0.0,0.0
12,42.64529058116233,0.0,0.0,0.0,0.0,0.0
13,42.86573146292585,0.0,0.0,0.0,0.0,0.0
14,43.08617234468938,0.0,0.0,0.0,0.0,0.0
15,43.3066132264529,0.0,0.0,0.0,0.0,0.0
16,43.52705410821643,0.0,0.0,0.0,0.0,0.0
17,43.74749498997996,0.0,0.0,0.0,0.0,0.0
18,43.967935871743485,0.0,0.0,0.0,0.0,0.0
19,44.188376753507015,0.0,0.0,0.0,0.0,0.0
20,44.40881763527054,0.0,0.0,0.0,0.0,0.0
21,44.62925851703407,0.0,0.0,0.0,0.0,0.0
22,44.8496993987976,0.0,0.0,0.0,0.0,0.0
23,45.07014028056112,0.0,0.0,0.0,0.0,0.0
24,45.29058116232465,0.0,0.0,0.0,0.0,0.0
25,45.51102204408818,0.0,0.0,0.0,0.0,0.0
26,45.7314629258517,0.0,0.0,0.0,0.0,0.0
27,45.95190380761523,0.0,0.0,0.0,0.0,0.0
28,46.17234468937876,0.0,0.0,0.0,0.0,0.0
29,46.392785571142284,0.0,0.0,0.0,0.0,0.0
30,46.61322645290581,2.90604e-319,5.296384e-318,4.7506343644e-314,0.0,0.0
31,46.833667334669336,1.2135437653324769e-304,2.2018259950747757e-303,1.9744909993711755e-299,0.0,0.0
32,47.054108216432866,1.627554722902131e-290,2.93916367026999e-289,2.6356997444885555e-285,0.0,0.0
33,47.274549098196395,7.204510684131192e-277,1.2949792590762353e-275,1.1612747315809328e-271,0.0,0.0
34,47.49498997995992,1.0809643598171575e-263,1.9339680405447515e-262,1.7342889482043004e-258,0.0,0.0
35,47.71543086172345,5.641608587522649e-251,1.0046847728112621e-249,9.009526845257097e-246,0.0,0.0
36,47.93587174348697,1.0503459042534577e-238,1.8619046421842084e-237,1.6696659799201243e-233,0.0,0.0
37,48.1563126252505,7.14937062462877e-227,1.2615379060864415e-225,1.1312861445477873e-221,0.0,0.0
38,48.37675350701403,1.8222213408555722e-215,3.2007380046132575e-214,2.8702669491553116e-210,0.0,0.0
39,48.59719438877755,1.7801464357859148e-204,3.112649716565337e-203,2.7912736352923198e-199,0.0,0.0
40,48.81763527054108,6.818589541109132e-194,1.1868710256394866e-192,1.0643284995188805e-188,4.0447356232993435e-191,4.0447356232993435e-191
41,49.03807615230461,1.0469540364375769e-183,1.8141780583458468e-182,1.626867089167461e-178,3.853070790201847e-181,3.853070790201847e-181
42,49.258517034068134,6.5844484182069205e-174,1.1358573300807253e-172,1.0185818860486301e-168,1.5152729924325964e-171,1.5152729924325964e-171
43,49.478957915831664,1.7321915149237896e-164,2.974822658451086e-163,2.667676999443193e-159,2.51189486957086e-162,2.51189486957086e-162
44,49.699398797595194,1.94559100894025e-155,3.326489320922784e-154,2.9830346441355883e-150,1.7912999163687124e-153,1.7912999163687124e-153
45,49.91983967935872,9.518221283028081e-147,1.6201989017568427e-145,1.4529159687758647e-141,5.605283303333968e-145,5.605283303333968e-145
46,50.140280561122246,2.0680431452150356e-138,3.504762178640434e-137,3.1429011157746077e-133,7.846542564197795e-137,7.846542564197795e-137
47,50.360721442885776,2.033768876872233e-130,3.431589830643585e-129,3.077283695122016e-125,5.00712951097041e-129,5.00712951097041e-129
48,50.5811623246493,9.221767773089964e-123,1.5492128643212104e-121,1.3892591256323981e-117,1.4835506054208806e-121,1.4835506054208806e-121
49,50.80160320641282,1.963040601715287e-115,3.283504246902343e-114,2.9444877099316516e-110,2.0777495037645396e-114,2.0777495037645396e-114
50,51.02204408817635,1.9965676564203013e-108,3.3251550108994555e-107,2.98183809947796e-103,1.399722785049164e-107,1.399722785049164e-107
51,51.24248496993988,9.870206146644656e-102,1.6367477744887477e-100,1.4677561969918889e-96,4.613617446287934e-101,4.613617446287934e-101
52,51.4629258517034,2.4116795798218636e-95,3.9820879748976297e-94,3.5709437906207213e-90,7.564874214419107e-95,7.564874214419107e-95
53,51.68336673346693,2.9603905400517415e-89,4.8672530886547146e-88,4.36471702882403e-84,6.271256928217776e-89,6.271256928217776e-89
54,51.90380761523046,1.8549205051696685e-83,3.036769310727131e-82,2.723227759418699e-78,2.6702973634028508e-83,2.6702973634028508e-83
55,52.124248496993985,6.025460219580392e-78,9.82281885384481e-77,8.808628592247769e-73,5.930730958151578e-78,5.930730958151578e-78
56,52.344689378757515,1.0301987915154114e-72,1.6723767733540711e-71,1.4997065589794164e-67,6.974746931101402e-73,6.974746931101402e-73
57,52.565130260521045,9.40881800134435e-68,1.5209783808998248e-66,1.3639398072520522e-62,4.4074720521433335e-68,4.4074720521433335e-68
58,52.78557114228457,4.6568700797952996e-63,7.496604771969264e-62,6.722592376148975e-58,1.5181209744882854e-63,1.5181209744882854e-63
